id,Term,zog,kike,george soros,rothschild,nigger,Average,predict,true_label
98,kike_nigger,0.474640757,0.687419355,0.180409774,0.179892689,0.722987831,0.449070081,1,1
99,soros_da,0.013385424,-0.049317106,-0.065800742,-0.06190777,-0.000819429,-0.032891925,0,0
100,date_birth,0.221966162,0.248073548,0.19594942,0.068443581,0.273471177,0.201580778,1,0
101,people_soros,0.003643467,-0.063308176,-0.081133995,-0.046342337,0.01415873,-0.034596462,0,0
102,criminal_family,0.058138527,0.104246527,0.176834494,0.164377823,0.129136637,0.126546802,0,1
103,collect_tax,0.071341135,0.116405994,0.186108217,0.157138109,0.152955711,0.136789833,0,0
104,jail_way,0.093254611,-0.054030575,-0.030503104,-0.018669934,0.027736461,0.003557492,0,0
105,tax_jail,0.019917919,-0.07317768,-0.046605862,-0.07651731,-0.012834565,-0.0378435,0,0
106,soros_criminal,0.08047167,-0.038427034,-0.041292552,-0.121677751,0.040391514,-0.01610683,0,1
107,family_collect,0.011013886,-0.115387527,-0.071943701,-0.065438037,-0.018047794,-0.051960635,0,0
108,ticket_coup,0.071740327,-0.05443331,-0.051732387,-0.036759502,-0.006595306,-0.015556035,0,0
109,soros_know,-0.006295629,-0.058303542,-0.062715377,-0.054413338,-0.033537261,-0.04305303,0,0
110,schwab_wwii,0.004650013,-0.048907965,-0.014214739,-0.076947532,-0.012882947,-0.029660634,0,0
111,country_uk,0.128059116,-0.026212407,-0.022003208,-0.092548975,0.001634805,-0.002214134,0,0
112,coup_schwab,0.04928791,-0.053218715,-0.071629186,-0.034319802,0.038960935,-0.014183772,0,0
113,know_persona,0.166635722,0.167304099,0.08663509,0.106383868,0.212705985,0.147932953,1,0
114,uk_bank,0.070801992,-0.049616697,-0.009356788,-0.076212414,-0.010951755,-0.015067132,0,0
115,wwii_usand,0.094157185,-0.047513411,-0.023663568,-0.022145242,-0.010990872,-0.002031182,0,0
116,usand_interest,0.01101131,-0.055581836,-0.057537336,-0.099807641,0.00733122,-0.038916857,0,0
117,jew_division,-0.002806294,-0.094590368,-0.063680667,-0.041438911,-0.062998311,-0.05310291,0,0
118,obama_bidens,0.219328552,0.252536327,0.200679928,0.202720374,0.218909889,0.218835014,1,0
119,nato_support,0.052962996,-0.02832142,-0.005858662,-0.04762672,-0.000387331,-0.005846227,0,0
120,bank_brainstorm,-0.030836196,-0.098482194,-0.046650639,-0.043934882,-0.035589959,-0.051098774,0,0
121,good_push,0.065674082,-0.070850896,-0.078803645,-0.06166453,-0.008494098,-0.030827818,0,0
122,push_eu,-0.047639836,-0.114400621,-0.068730847,-0.054101909,-0.088739856,-0.074722614,0,0
123,support_good,0.196576804,0.227268487,0.122308701,0.173919752,0.231082156,0.19023118,1,0
124,warwith_nato,0.206459671,0.215045631,0.147914961,0.192565337,0.216729268,0.195742974,1,1
125,soros_desantis,-0.011721193,-0.121914033,-0.05473901,-0.089197529,-0.071195522,-0.069753458,0,0
126,ron_desantis,0.156674594,0.184438422,0.500488341,0.078119829,0.166729689,0.217290175,1,1
127,desantis_george,0.027239336,-0.094814266,-0.076465753,-0.055536469,-0.060108989,-0.051937228,0,0
128,soros_trump,0.015583227,-0.140108068,-0.024291552,-0.012460447,-0.067575676,-0.045770503,0,0
129,stripe_gmt,0.335719168,0.45969668,0.221143305,0.12493784,0.453714758,0.31904235,1,0
130,kiss_death,0.151320681,0.268847257,0.446518153,0.144506082,0.25576207,0.253390849,1,1
131,florida_governor,0.156363487,0.220078111,0.447720528,0.123668931,0.209394187,0.231445049,1,1
132,munich_security,0.130266413,0.149691135,0.346451104,0.159029946,0.129091799,0.182906079,1,1
133,shrewd_ruthless,0.291142792,0.443666101,0.411987096,0.238304272,0.43316111,0.363652274,1,1
134,security_conference,0.217943281,0.243361071,0.447710216,0.17005226,0.246164232,0.265046212,1,1
135,ruthless_ambitious,0.111249208,0.220932946,0.379822284,0.070252426,0.23627764,0.203706901,1,0
136,soros_ron,0.023773887,-0.07709545,-0.058118583,-0.083152454,-0.031168219,-0.045152164,0,0
137,anus_cause,0.170095086,0.187681809,0.078851558,0.089517057,0.216518998,0.148532902,1,0
138,cause_fibtranny,0.16280365,0.200420663,0.077060789,0.084781125,0.231165484,0.151246342,1,0
139,cp_firearm,0.071727991,-0.05277474,-0.059754043,-0.058654702,0.012845542,-0.017321991,0,0
140,dick_jfktranny,0.153050229,0.194210291,0.077267729,0.082527652,0.219086841,0.145228548,1,0
141,fibtranny_cp,0.056149943,-0.065135746,-0.046134262,-0.070187491,-0.013839525,-0.027829416,0,0
142,firearm_soros,0.172106236,0.204117671,0.091094762,0.091889016,0.234437585,0.158729054,1,1
143,frontbutt_anus,0.1709636,0.209573492,0.092643894,0.091289595,0.239584059,0.160810928,1,0
144,jfktranny_frontbutt,0.162850261,0.182850271,0.076674357,0.080680907,0.215047643,0.143620688,1,0
145,joshua_wannabe,0.169730559,0.192831486,0.081686035,0.073485874,0.227474838,0.149041758,1,0
146,lil_shrimpie,0.160173088,0.189571798,0.067343071,0.072293378,0.223845392,0.142645346,1,0
147,nazi_lil,0.16993688,0.203317165,0.06253361,0.067669414,0.243728369,0.149437088,1,1
148,shrimpie_dick,0.162506849,0.190776005,0.076720126,0.073484585,0.227649361,0.146227385,1,0
149,wannabe_nazi,0.163193971,0.192741334,0.080717847,0.07777404,0.22112824,0.147111087,1,1
